Bx	By	Bz
-13.8655	0.	3.33455
-13.5541	0.	3.24846
-13.2403	0.	3.16422
-12.924	0.	3.08215
-12.6055	0.	3.00252
-12.2848	0.	2.92554
-11.9621	0.	2.85137
-11.6374	0.	2.78013
-11.3109	0.	2.71188
-10.9828	0.	2.64668
-10.653	0.	2.58452
-10.3217	0.	2.52538
-9.98913	0.	2.46924
-9.65525	0.	2.41601
-9.32021	0.	2.36561
-8.98412	0.	2.31797
-8.64708	0.	2.27295
-8.30921	0.	2.23047
-7.97059	0.	2.19038
-7.63134	0.	2.15258
-7.29155	0.	2.11693
-6.95132	0.	2.08331
-6.61075	0.	2.05159
-6.26993	0.	2.02165
-5.92897	0.	1.99339
-5.58795	0.	1.96667
-5.24697	0.	1.94141
-4.90611	0.	1.91749
-4.56548	0.	1.89483
-4.22515	0.	1.87334
-3.88521	0.	1.85294
-3.54576	0.	1.83356
-3.20687	0.	1.81513
-2.86862	0.	1.79759
-2.53111	0.	1.78089
-2.1944	0.	1.76497
-1.85858	0.	1.7498
-1.52373	0.	1.73534
-1.18991	0.	1.72153
-0.857218	0.	1.70836
-0.525711	0.	1.69579
-0.195465	0.	1.68379
0.133449	0.	1.67233
0.460961	0.	1.66137
0.787004	0.	1.65091
1.11151	0.	1.6409
1.43442	0.	1.63133
1.75566	0.	1.62217
2.07517	0.	1.61339
2.3929	0.	1.60497
2.70877	0.	1.59689
3.02274	0.	1.58913
3.33473	0.	1.58166
3.64471	0.	1.57447
3.95261	0.	1.56754
4.25838	0.	1.56086
4.56196	0.	1.5544
4.86331	0.	1.54817
5.16236	0.	1.54214
5.45909	0.	1.53631
5.75342	0.	1.53067
6.04533	0.	1.52523
6.33475	0.	1.51996
6.62166	0.	1.51488
6.90599	0.	1.50998
7.18772	0.	1.50525
7.46679	0.	1.50071
7.74316	0.	1.49634
8.01681	0.	1.49215
8.28768	0.	1.48814
8.55573	0.	1.48431
8.82094	0.	1.48064
9.08327	0.	1.47715
9.34267	0.	1.47382
9.59911	0.	1.47065
9.85257	0.	1.46764
10.103	0.	1.46478
10.3504	0.	1.46206
10.5947	0.	1.45948
10.8358	0.	1.45703
11.0739	0.	1.45469
11.3087	0.	1.45247
11.5404	0.	1.45035
11.7688	0.	1.44833
11.9939	0.	1.4464
12.2158	0.	1.44456
12.4343	0.	1.44281
12.6496	0.	1.44114
12.8614	0.	1.43954
13.0699	0.	1.43802
13.2749	0.	1.43658
13.4765	0.	1.43522
13.6747	0.	1.43393
13.8694	0.	1.43273
14.0606	0.	1.43161
14.2482	0.	1.43057
14.4324	0.	1.42963
14.6129	0.	1.42877
14.7899	0.	1.42801
14.9633	0.	1.42734
15.1331	0.	1.42677
15.2993	0.	1.42629
15.4617	0.	1.4259
15.6206	0.	1.4256
15.7757	0.	1.4254
15.9272	0.	1.42528
16.0749	0.	1.42525
16.2189	0.	1.42529
16.3591	0.	1.42541
16.4956	0.	1.4256
16.6283	0.	1.42586
16.7572	0.	1.42618
16.8823	0.	1.42656
17.0036	0.	1.427
17.1211	0.	1.42749
17.2347	0.	1.42803
17.3445	0.	1.42862
17.4504	0.	1.42926
17.5524	0.	1.42995
17.6505	0.	1.43069
17.7447	0.	1.43148
17.835	0.	1.43233
17.9214	0.	1.43323
18.0039	0.	1.43419
18.0824	0.	1.43521
18.157	0.	1.43629
18.2276	0.	1.43744
18.2942	0.	1.43865
18.3568	0.	1.43994
18.4155	0.	1.4413
18.4701	0.	1.44274
18.5208	0.	1.44424
18.5674	0.	1.44582
18.61	0.	1.44747
18.6486	0.	1.4492
18.6832	0.	1.45099
18.7137	0.	1.45285
18.7402	0.	1.45478
18.7626	0.	1.45677
18.7809	0.	1.45882
18.7952	0.	1.46092
18.8054	0.	1.46309
18.8116	0.	1.46531
18.8137	0.	1.46758
18.8116	0.	1.46991
18.8055	0.	1.47228
18.7953	0.	1.47471
18.781	0.	1.4772
18.7626	0.	1.47973
18.7402	0.	1.48233
18.7136	0.	1.48498
18.6829	0.	1.48769
18.6481	0.	1.49046
18.6092	0.	1.4933
18.5662	0.	1.49621
18.519	0.	1.49919
18.4678	0.	1.50225
18.4125	0.	1.50538
18.3531	0.	1.50858
18.2895	0.	1.51187
18.2219	0.	1.51524
18.1502	0.	1.51869
18.0743	0.	1.52222
17.9944	0.	1.52584
17.9104	0.	1.52953
17.8223	0.	1.53331
17.7302	0.	1.53717
17.6339	0.	1.54111
17.5336	0.	1.54514
17.4293	0.	1.54924
17.3209	0.	1.55342
17.2084	0.	1.55769
17.092	0.	1.56203
16.9715	0.	1.56645
16.8469	0.	1.57096
16.7184	0.	1.57555
16.5859	0.	1.58023
16.4495	0.	1.58499
16.309	0.	1.58984
16.1646	0.	1.59478
16.0163	0.	1.59982
15.864	0.	1.60495
15.7079	0.	1.61019
15.5479	0.	1.61553
15.384	0.	1.62097
15.2162	0.	1.62653
15.0447	0.	1.63219
14.8693	0.	1.63798
14.6902	0.	1.64387
14.5072	0.	1.64989
14.3206	0.	1.65603
14.1302	0.	1.6623
13.9362	0.	1.66869
13.7385	0.	1.67521
13.5372	0.	1.68186
13.3323	0.	1.68865
13.1238	0.	1.69556
12.9118	0.	1.70262
12.6963	0.	1.70982
12.4774	0.	1.71716
12.255	0.	1.72465
12.0292	0.	1.73229
11.8001	0.	1.74009
11.5676	0.	1.74806
11.3319	0.	1.7562
11.093	0.	1.76452
10.8509	0.	1.77302
10.6056	0.	1.78173
10.3573	0.	1.79065
10.1059	0.	1.7998
9.85157	0.	1.80919
9.59427	0.	1.81885
9.33408	0.	1.82878
9.07107	0.	1.83903
8.80528	0.	1.84961
8.53678	0.	1.86057
8.26562	0.	1.87192
7.99187	0.	1.88373
7.71558	0.	1.89603
7.43683	0.	1.90887
7.15568	0.	1.92232
6.87219	0.	1.93645
6.58644	0.	1.95132
6.2985	0.	1.96704
6.00844	0.	1.98368
5.71633	0.	2.00135
5.42226	0.	2.02017
5.12629	0.	2.04026
4.82851	0.	2.06177
4.52899	0.	2.08484
4.22783	0.	2.10963
3.92511	0.	2.13633
3.62091	0.	2.16511
3.31532	0.	2.19619
3.00843	0.	2.22977
2.70033	0.	2.26608
2.39111	0.	2.30536
2.08087	0.	2.34786
1.76971	0.	2.39384
1.45772	0.	2.44358
1.145	0.	2.49733
0.831649	0.	2.55539
0.517773	0.	2.61803
0.203475	0.	2.68555
-0.111141	0.	2.75822
-0.425969	0.	2.83632
-0.740901	0.	2.92011
-1.05583	0.	3.00984
-1.37064	0.	3.10576
-1.68522	0.	3.20806
-1.99946	0.	3.31694
-2.31325	0.	3.43254
-2.62647	0.	3.55498
-2.93901	0.	3.68431
-3.25074	0.	3.82057
-3.56156	0.	3.9637
-3.87134	0.	4.1136
-4.17995	0.	4.27011
-4.4873	0.	4.43297
-4.79324	0.	4.60187
-5.09766	0.	4.7764
-5.40044	0.	4.95605
-5.70145	0.	5.14026
-6.00058	0.	5.32833
-6.2977	0.	5.51949
-6.59268	0.	5.71287
-6.88541	0.	5.9075
-7.17576	0.	6.10232
-7.46361	0.	6.29617
-7.74883	0.	6.48783
-8.0313	0.	6.67597
-8.3109	0.	6.85919
-8.5875	0.	7.03604
-8.861	0.	7.205
-9.13125	0.	7.36452
-9.39816	0.	7.51301
-9.66158	0.	7.64886
-9.92142	0.	7.77046
-10.1775	0.	7.87623
-10.4298	0.	7.96459
-10.6782	0.	8.03403
-10.9225	0.	8.08309
-11.1626	0.	8.11039
-11.3985	0.	8.11466
-11.63	0.	8.09473
-11.857	0.	8.04958
-12.0793	0.	7.97831
-12.297	0.	7.8802
-12.5099	0.	7.75469
-12.7179	0.	7.60141
-12.9208	0.	7.4202
-13.1187	0.	7.21106
-13.3114	0.	6.97423
-13.4988	0.	6.71015
-13.6808	0.	6.41947
-13.8574	0.	6.10306
-14.0285	0.	5.76198
-14.1939	0.	5.39751
-14.3537	0.	5.0111
-14.5077	0.	4.60441
-14.6559	0.	4.17926
-14.7981	0.	3.73762
-14.9344	0.	3.2816
-15.0647	0.	2.81346
-15.1889	0.	2.33554
-15.307	0.	1.85026
-15.4188	0.	1.36012
